#EnsemblGeneID(0)	ChromosomeName(1)	promoterStart(2)	promoterStop(3)	Strand(4)
AAEL003915	supercont1.100	688620	689619	+
AAEL003921	supercont1.100	707923	708922	+
AAEL003906	supercont1.100	710392	711391	-
AAEL003916	supercont1.100	734021	735020	-
AAEL003908	supercont1.100	754739	755738	+
AAEL003918	supercont1.100	987327	988326	+
AAEL003905	supercont1.100	1306606	1307605	-
AAEL003904	supercont1.100	2423488	2424487	+
AAEL003914	supercont1.100	2514410	2515409	+
AAEL003917	supercont1.100	2594782	2595781	-
AAEL003907	supercont1.100	2615452	2616451	+
AAEL014079	supercont1.1000	72345	73344	+
AAEL014078	supercont1.1000	130715	131714	+
AAEL014081	supercont1.1002	119661	120660	-
AAEL014080	supercont1.1002	132920	133919	+
AAEL014082	supercont1.1002	186323	187322	+
AAEL016896	supercont1.1002	213631	214630	+
AAEL014085	supercont1.1003	33845	34844	-
AAEL014087	supercont1.1003	60735	61734	-
AAEL014089	supercont1.1003	74836	75835	-
AAEL016897	supercont1.1003	77247	78246	+
AAEL014091	supercont1.1003	83685	84684	+
AAEL014086	supercont1.1003	96838	97837	+
AAEL014083	supercont1.1003	108763	109762	+
AAEL014084	supercont1.1003	147354	148353	-
AAEL014092	supercont1.1003	277865	278864	+
AAEL014088	supercont1.1003	305113	306112	+
AAEL014090	supercont1.1003	320469	321468	-
AAEL014094	supercont1.1004	31518	32517	+
AAEL014099	supercont1.1004	50537	51536	-
AAEL014095	supercont1.1004	66930	67929	+
AAEL014096	supercont1.1004	84948	85947	-
AAEL014098	supercont1.1004	91255	92254	+
AAEL014093	supercont1.1004	134131	135130	+
AAEL014097	supercont1.1004	160704	161703	+
AAEL014100	supercont1.1005	19413	20412	-
AAEL016898	supercont1.1006	221283	222282	+
AAEL016899	supercont1.1006	221443	222442	+
AAEL016900	supercont1.1006	222343	223342	+
AAEL016901	supercont1.1006	224792	225791	+
AAEL016902	supercont1.1006	224947	225946	+
AAEL014101	supercont1.1006	291605	292604	+
AAEL014102	supercont1.1007	12993	13992	-
AAEL014104	supercont1.1008	64888	65887	-
AAEL014111	supercont1.1008	74175	75174	+
AAEL014107	supercont1.1008	94713	95712	-
AAEL014105	supercont1.1008	97941	98940	+
AAEL014112	supercont1.1008	123034	124033	+
AAEL014106	supercont1.1008	151867	152866	-
AAEL014109	supercont1.1008	185756	186755	-
AAEL014103	supercont1.1008	210997	211996	+
AAEL014113	supercont1.1008	265107	266106	-
AAEL014108	supercont1.1008	285341	286340	-
AAEL014110	supercont1.1008	310298	311297	+
AAEL014115	supercont1.1009	214640	215639	+
AAEL014114	supercont1.1009	271156	272155	-
AAEL016314	supercont1.101	101000	101999	+
AAEL003937	supercont1.101	161427	162426	+
AAEL003941	supercont1.101	264773	265772	+
AAEL003931	supercont1.101	308214	309213	+
AAEL003934	supercont1.101	337266	338265	-
AAEL003925	supercont1.101	359940	360939	-
AAEL003928	supercont1.101	504720	505719	+
AAEL003926	supercont1.101	539259	540258	-
AAEL003923	supercont1.101	562349	563348	-
AAEL003935	supercont1.101	614017	615016	+
AAEL003933	supercont1.101	665183	666182	-
AAEL003944	supercont1.101	936104	937103	+
AAEL003943	supercont1.101	946125	947124	-
AAEL003929	supercont1.101	963168	964167	+
AAEL003927	supercont1.101	978756	979755	+
AAEL003942	supercont1.101	987979	988978	-
AAEL003930	supercont1.101	1363463	1364462	-
AAEL003932	supercont1.101	1523677	1524676	+
AAEL003947	supercont1.101	1565651	1566650	+
AAEL003945	supercont1.101	1638436	1639435	-
AAEL003946	supercont1.101	1643461	1644460	+
AAEL003939	supercont1.101	1662732	1663731	-
AAEL003938	supercont1.101	1690714	1691713	+
AAEL003924	supercont1.101	1725181	1726180	+
AAEL003936	supercont1.101	1836832	1837831	+
AAEL003940	supercont1.101	1846473	1847472	+
AAEL015904	supercont1.101	1912361	1913360	-
AAEL014125	supercont1.1011	165215	166214	+
AAEL014127	supercont1.1012	41256	42255	+
AAEL014128	supercont1.1012	196571	197570	+
AAEL014126	supercont1.1012	214786	215785	+
AAEL016903	supercont1.1012	310042	311041	-
AAEL014129	supercont1.1013	294137	295136	+
AAEL014131	supercont1.1014	49475	50474	+
AAEL014133	supercont1.1014	85166	86165	+
AAEL014132	supercont1.1014	110303	111302	-
AAEL014130	supercont1.1014	248065	249064	+
AAEL014134	supercont1.1014	259823	260822	-
AAEL014135	supercont1.1015	160552	161551	+
AAEL014136	supercont1.1015	214576	215575	-
AAEL014138	supercont1.1016	93151	94150	-
AAEL014139	supercont1.1016	181553	182552	+
AAEL014137	supercont1.1016	201313	202312	+
AAEL014140	supercont1.1016	230074	231073	+
AAEL014141	supercont1.1016	283132	284131	+
AAEL014144	supercont1.1018	190275	191274	+
AAEL014142	supercont1.1018	230214	231213	-
AAEL014143	supercont1.1018	299357	300356	-
AAEL014151	supercont1.1019	38156	39155	-
AAEL014152	supercont1.1019	121017	122016	-
AAEL014146	supercont1.1019	133675	134674	-
AAEL014147	supercont1.1019	212303	213302	-
AAEL014149	supercont1.1019	238865	239864	-
AAEL014145	supercont1.1019	240575	241574	+
AAEL014148	supercont1.1019	248321	249320	+
AAEL014150	supercont1.1019	256644	257643	-
AAEL015836	supercont1.102	224518	225517	-
AAEL015926	supercont1.102	224951	225950	-
AAEL015935	supercont1.102	225382	226381	-
AAEL015854	supercont1.102	225813	226812	-
AAEL015776	supercont1.102	226243	227242	-
AAEL003978	supercont1.102	241360	242359	+
AAEL015886	supercont1.102	247642	248641	-
AAEL015745	supercont1.102	249349	250348	-
AAEL015908	supercont1.102	249781	250780	-
AAEL015706	supercont1.102	250207	251206	-
AAEL015906	supercont1.102	250632	251631	-
AAEL015922	supercont1.102	251045	252044	-
AAEL015709	supercont1.102	251458	252457	-
AAEL015807	supercont1.102	251889	252888	-
AAEL015878	supercont1.102	252320	253319	-
AAEL015823	supercont1.102	252751	253750	-
AAEL015972	supercont1.102	253182	254181	-
AAEL015938	supercont1.102	253613	254612	-
AAEL015710	supercont1.102	254044	255043	-
AAEL015877	supercont1.102	254475	255474	-
AAEL015885	supercont1.102	254906	255905	-
AAEL015890	supercont1.102	255337	256336	-
AAEL015755	supercont1.102	255768	256767	-
AAEL015867	supercont1.102	256199	257198	-
AAEL015689	supercont1.102	256630	257629	-
AAEL015872	supercont1.102	257061	258060	-
AAEL015812	supercont1.102	257492	258491	-
AAEL015751	supercont1.102	257923	258922	-
AAEL015821	supercont1.102	258354	259353	-
AAEL015949	supercont1.102	258785	259784	-
AAEL015816	supercont1.102	259216	260215	-
AAEL015810	supercont1.102	259647	260646	-
AAEL015818	supercont1.102	260078	261077	-
AAEL015979	supercont1.102	260509	261508	-
AAEL015978	supercont1.102	260940	261939	-
AAEL015820	supercont1.102	261371	262370	-
AAEL015912	supercont1.102	261802	262801	-
AAEL015804	supercont1.102	262233	263232	-
AAEL015847	supercont1.102	262664	263663	-
AAEL015692	supercont1.102	263095	264094	-
AAEL015894	supercont1.102	263526	264525	-
AAEL015918	supercont1.102	263953	264952	-
AAEL015936	supercont1.102	264384	265383	-
AAEL015923	supercont1.102	264815	265814	-
AAEL015881	supercont1.102	265246	266245	-
AAEL015723	supercont1.102	265677	266676	-
AAEL015714	supercont1.102	266108	267107	-
AAEL015956	supercont1.102	266539	267538	-
AAEL015824	supercont1.102	266970	267969	-
AAEL015789	supercont1.102	267402	268401	-
AAEL015748	supercont1.102	267833	268832	-
AAEL015825	supercont1.102	268264	269263	-
AAEL015868	supercont1.102	268695	269694	-
AAEL015884	supercont1.102	269126	270125	-
AAEL015782	supercont1.102	269557	270556	-
AAEL015733	supercont1.102	269988	270987	-
AAEL015893	supercont1.102	270419	271418	-
AAEL015786	supercont1.102	270850	271849	-
AAEL015753	supercont1.102	271280	272279	-
AAEL015907	supercont1.102	271710	272709	-
AAEL015805	supercont1.102	272141	273140	-
AAEL015719	supercont1.102	272572	273571	-
AAEL015772	supercont1.102	273002	274001	-
AAEL015892	supercont1.102	273433	274432	-
AAEL015917	supercont1.102	273864	274863	-
AAEL015708	supercont1.102	274293	275292	-
AAEL015732	supercont1.102	274724	275723	-
AAEL015959	supercont1.102	275155	276154	-
AAEL015791	supercont1.102	275586	276585	-
AAEL015874	supercont1.102	276017	277016	-
AAEL015783	supercont1.102	276448	277447	-
AAEL015704	supercont1.102	276882	277881	-
AAEL015722	supercont1.102	277764	278763	-
AAEL015712	supercont1.102	278224	279223	-
AAEL015927	supercont1.102	278655	279654	-
AAEL015898	supercont1.102	279987	280986	-
AAEL015835	supercont1.102	280419	281418	-
AAEL015813	supercont1.102	280850	281849	-
AAEL015703	supercont1.102	281281	282280	-
AAEL015855	supercont1.102	281712	282711	-
AAEL015765	supercont1.102	282143	283142	-
AAEL016315	supercont1.102	282574	283573	+
AAEL015852	supercont1.102	295578	296577	-
AAEL015833	supercont1.102	296009	297008	-
AAEL015707	supercont1.102	296440	297439	-
AAEL015777	supercont1.102	296871	297870	-
AAEL015839	supercont1.102	297301	298300	-
AAEL015720	supercont1.102	297732	298731	-
AAEL015928	supercont1.102	298164	299163	-
AAEL015933	supercont1.102	298595	299594	-
AAEL015980	supercont1.102	299026	300025	-
AAEL015727	supercont1.102	299457	300456	-
AAEL015911	supercont1.102	299888	300887	-
AAEL015882	supercont1.102	300319	301318	-
AAEL015992	supercont1.102	300750	301749	-
AAEL015739	supercont1.102	301183	302182	-
AAEL015937	supercont1.102	301613	302612	-
AAEL015827	supercont1.102	302043	303042	-
AAEL015697	supercont1.102	302474	303473	-
AAEL015690	supercont1.102	302905	303904	-
AAEL015848	supercont1.102	303336	304335	-
AAEL015974	supercont1.102	303767	304766	-
AAEL015734	supercont1.102	304198	305197	-
AAEL015808	supercont1.102	304629	305628	-
AAEL015794	supercont1.102	305054	306053	-
AAEL015905	supercont1.102	305485	306484	-
AAEL015806	supercont1.102	305916	306915	-
AAEL015793	supercont1.102	306343	307342	-
AAEL015875	supercont1.102	306774	307773	-
AAEL015811	supercont1.102	307205	308204	-
AAEL015913	supercont1.102	307636	308635	-
AAEL015900	supercont1.102	308067	309066	-
AAEL015760	supercont1.102	308498	309497	-
AAEL015837	supercont1.102	308929	309928	-
AAEL015799	supercont1.102	309359	310358	-
AAEL015916	supercont1.102	309789	310788	-
AAEL015686	supercont1.102	310221	311220	-
AAEL015780	supercont1.102	310652	311651	-
AAEL015838	supercont1.102	311082	312081	-
AAEL015903	supercont1.102	311512	312511	-
AAEL015987	supercont1.102	311943	312942	-
AAEL015819	supercont1.102	312374	313373	-
AAEL015920	supercont1.102	312805	313804	-
AAEL015779	supercont1.102	313236	314235	-
AAEL015986	supercont1.102	313667	314666	-
AAEL015716	supercont1.102	314097	315096	-
AAEL015752	supercont1.102	314527	315526	-
AAEL015711	supercont1.102	314958	315957	-
AAEL015930	supercont1.102	315389	316388	-
AAEL015849	supercont1.102	315820	316819	-
AAEL015914	supercont1.102	316251	317250	-
AAEL015880	supercont1.102	316682	317681	-
AAEL015757	supercont1.102	317115	318114	-
AAEL015988	supercont1.102	317997	318996	-
AAEL015702	supercont1.102	318428	319427	-
AAEL015826	supercont1.102	318858	319857	-
AAEL015940	supercont1.102	319289	320288	-
AAEL015698	supercont1.102	319719	320718	-
AAEL015842	supercont1.102	320150	321149	-
AAEL015843	supercont1.102	320582	321581	-
AAEL015724	supercont1.102	321114	322113	-
AAEL015958	supercont1.102	321527	322526	-
AAEL015756	supercont1.102	321940	322939	-
AAEL016316	supercont1.102	736726	737725	+
AAEL003957	supercont1.102	821204	822203	-
AAEL003976	supercont1.102	852866	853865	-
AAEL003972	supercont1.102	874690	875689	+
AAEL003973	supercont1.102	883994	884993	+
AAEL003966	supercont1.102	935421	936420	-
AAEL003953	supercont1.102	1138632	1139631	-
AAEL016317	supercont1.102	1197205	1198204	-
AAEL003948	supercont1.102	1344411	1345410	+
AAEL003967	supercont1.102	1370274	1371273	-
AAEL003962	supercont1.102	1393839	1394838	+
AAEL003974	supercont1.102	1407954	1408953	+
AAEL003951	supercont1.102	1409463	1410462	+
AAEL003954	supercont1.102	1423312	1424311	-
AAEL003971	supercont1.102	1442221	1443220	-
AAEL003963	supercont1.102	1473459	1474458	-
AAEL003965	supercont1.102	1535027	1536026	-
AAEL003952	supercont1.102	1618143	1619142	-
AAEL003969	supercont1.102	1762505	1763504	-
AAEL003960	supercont1.102	1898067	1899066	-
AAEL003964	supercont1.102	1978160	1979159	-
AAEL003970	supercont1.102	2052505	2053504	+
AAEL003956	supercont1.102	2093573	2094572	-
AAEL003968	supercont1.102	2133925	2134924	-
AAEL003950	supercont1.102	2142850	2143849	+
AAEL003949	supercont1.102	2208240	2209239	-
AAEL003955	supercont1.102	2222457	2223456	+
AAEL003959	supercont1.102	2284029	2285028	-
AAEL003961	supercont1.102	2301227	2302226	+
AAEL003977	supercont1.102	2341273	2342272	-
AAEL003958	supercont1.102	2580611	2581610	+
AAEL003975	supercont1.102	2649511	2650510	+
AAEL014159	supercont1.1020	150699	151698	-
AAEL014161	supercont1.1020	151303	152302	+
AAEL016904	supercont1.1020	167073	168072	-
AAEL014156	supercont1.1020	177145	178144	+
AAEL014154	supercont1.1020	208291	209290	+
AAEL014155	supercont1.1020	220193	221192	-
AAEL014160	supercont1.1020	232536	233535	-
AAEL014158	supercont1.1020	270883	271882	-
AAEL014157	supercont1.1020	279695	280694	+
AAEL014153	supercont1.1020	279939	280938	+
AAEL016905	supercont1.1021	38752	39751	-
AAEL014162	supercont1.1022	209399	210398	+
AAEL014164	supercont1.1023	15196	16195	+
AAEL014165	supercont1.1023	78208	79207	+
AAEL014163	supercont1.1023	83397	84396	-
AAEL014167	supercont1.1024	3225	4224	+
AAEL014166	supercont1.1024	262528	263527	-
AAEL014172	supercont1.1025	136148	137147	+
AAEL014169	supercont1.1025	212830	213829	+
AAEL014170	supercont1.1025	219485	220484	-
AAEL014171	supercont1.1025	233838	234837	+
AAEL014168	supercont1.1025	268298	269297	-
AAEL014176	supercont1.1026	138067	139066	+
AAEL014174	supercont1.1026	148884	149883	+
AAEL014175	supercont1.1026	164941	165940	+
AAEL014173	supercont1.1026	224905	225904	+
AAEL016906	supercont1.1026	291834	292833	-
AAEL014178	supercont1.1027	1	61	+
AAEL014177	supercont1.1027	15890	16889	+
AAEL014181	supercont1.1028	3506	4505	+
AAEL014184	supercont1.1028	68625	69624	+
AAEL014185	supercont1.1028	106312	107311	+
AAEL014180	supercont1.1028	126183	127182	-
AAEL014183	supercont1.1028	127375	128374	+
AAEL014187	supercont1.1028	144092	145091	-
AAEL014186	supercont1.1028	157588	158587	+
AAEL014182	supercont1.1028	180724	181723	+
AAEL014188	supercont1.1028	218440	219439	-
AAEL014179	supercont1.1028	245655	246654	+
AAEL003981	supercont1.103	154941	155940	+
AAEL003983	supercont1.103	597327	598326	-
AAEL003982	supercont1.103	1365578	1366577	+
AAEL016318	supercont1.103	2211013	2212012	+
AAEL003980	supercont1.103	2421807	2422806	-
AAEL003979	supercont1.103	2596783	2597782	-
AAEL014190	supercont1.1030	21830	22829	+
AAEL014191	supercont1.1030	83355	84354	-
AAEL014189	supercont1.1030	144482	145481	-
AAEL016907	supercont1.1030	266453	267452	-
AAEL014194	supercont1.1031	33660	34659	-
AAEL014193	supercont1.1031	219608	220607	-
AAEL014192	supercont1.1031	249213	250212	-
AAEL014195	supercont1.1032	10364	11363	+
AAEL014196	supercont1.1032	200778	201777	-
AAEL014197	supercont1.1032	220032	221031	+
AAEL014201	supercont1.1034	12033	13032	+
AAEL014198	supercont1.1034	16343	17342	-
AAEL014202	supercont1.1034	104085	105084	-
AAEL014199	supercont1.1034	251277	252276	-
AAEL014200	supercont1.1034	296667	297666	-
AAEL014203	supercont1.1035	120348	121347	+
AAEL014204	supercont1.1035	173658	174657	+
AAEL014205	supercont1.1036	3703	4702	+
AAEL014208	supercont1.1036	95120	96119	+
AAEL014207	supercont1.1036	120986	121985	-
AAEL015856	supercont1.1036	203509	204508	+
AAEL014206	supercont1.1036	233482	234481	-
AAEL015738	supercont1.1036	255682	256681	+
AAEL014210	supercont1.1037	132861	133860	+
AAEL014211	supercont1.1037	145488	146487	+
AAEL014213	supercont1.1037	175068	176067	-
AAEL014209	supercont1.1037	195537	196536	-
AAEL014212	supercont1.1037	250400	251399	+
AAEL014214	supercont1.1038	229130	230129	-
AAEL014218	supercont1.1039	18295	19294	-
AAEL014216	supercont1.1039	197773	198772	+
AAEL014217	supercont1.1039	214361	215360	+
AAEL014215	supercont1.1039	271814	272813	+
AAEL014219	supercont1.1039	276111	277110	+
AAEL003989	supercont1.104	117988	118987	+
AAEL003994	supercont1.104	187457	188456	+
AAEL003986	supercont1.104	213051	214050	-
AAEL003993	supercont1.104	274766	275765	-
AAEL003995	supercont1.104	276587	277586	+
AAEL003997	supercont1.104	307674	308673	+
AAEL003992	supercont1.104	308850	309849	-
AAEL003985	supercont1.104	318677	319676	-
AAEL003990	supercont1.104	351626	352625	+
AAEL003998	supercont1.104	376688	377687	-
AAEL003988	supercont1.104	385982	386981	+
AAEL003987	supercont1.104	413650	414649	-
AAEL003984	supercont1.104	434864	435863	-
AAEL003991	supercont1.104	457038	458037	-
AAEL003996	supercont1.104	697903	698902	-
AAEL003999	supercont1.104	951783	952782	-
AAEL016319	supercont1.104	1285523	1286522	+
AAEL004001	supercont1.104	1625532	1626531	+
AAEL004000	supercont1.104	2322646	2323645	-
AAEL014220	supercont1.1041	30260	31259	-
AAEL014221	supercont1.1041	242172	243171	+
AAEL014223	supercont1.1042	47539	48538	+
AAEL014222	supercont1.1042	48785	49784	-
AAEL014225	supercont1.1043	95529	96528	+
AAEL014224	supercont1.1043	265814	266813	-
AAEL014227	supercont1.1044	88041	89040	+
AAEL014226	supercont1.1044	180966	181965	+
AAEL014233	supercont1.1045	71857	72856	-
AAEL014232	supercont1.1045	80926	81925	+
AAEL014230	supercont1.1045	110795	111794	+
AAEL014228	supercont1.1045	147617	148616	-
AAEL014229	supercont1.1045	190117	191116	+
AAEL014231	supercont1.1045	203168	204167	-
AAEL014234	supercont1.1046	89014	90013	-
AAEL014236	supercont1.1046	186552	187551	-
AAEL014237	supercont1.1046	201197	202196	+
AAEL014235	supercont1.1046	257392	258391	-
AAEL014246	supercont1.1047	14744	15743	+
AAEL014244	supercont1.1047	35776	36775	+
AAEL014239	supercont1.1047	70465	71464	-
AAEL014241	supercont1.1047	86890	87889	+
AAEL014245	supercont1.1047	104780	105779	-
AAEL014240	supercont1.1047	112246	113245	-
AAEL014243	supercont1.1047	221397	222396	-
AAEL014242	supercont1.1047	236155	237154	-
AAEL014238	supercont1.1047	260764	261763	+
AAEL014247	supercont1.1049	116834	117833	-
AAEL014251	supercont1.1049	119895	120894	+
AAEL014248	supercont1.1049	155904	156903	+
AAEL014249	supercont1.1049	216508	217507	+
AAEL014250	supercont1.1049	258801	259800	-
AAEL004038	supercont1.105	40771	41770	+
AAEL004012	supercont1.105	140103	141102	-
AAEL004007	supercont1.105	493975	494974	-
AAEL004024	supercont1.105	506995	507994	-
AAEL004030	supercont1.105	544859	545858	-
AAEL004018	supercont1.105	570462	571461	-
AAEL004020	supercont1.105	584393	585392	-
AAEL004016	supercont1.105	597645	598644	-
AAEL004006	supercont1.105	749649	750648	-
AAEL004032	supercont1.105	1075761	1076760	+
AAEL004022	supercont1.105	1131461	1132460	-
AAEL004019	supercont1.105	1187882	1188881	-
AAEL004029	supercont1.105	1199180	1200179	+
AAEL004011	supercont1.105	1207278	1208277	-
AAEL004008	supercont1.105	1227839	1228838	-
AAEL004035	supercont1.105	1282881	1283880	-
AAEL004039	supercont1.105	1283860	1284859	+
AAEL004034	supercont1.105	1311064	1312063	-
AAEL004017	supercont1.105	1335836	1336835	-
AAEL004037	supercont1.105	1345040	1346039	-
AAEL004010	supercont1.105	1363566	1364565	+
AAEL004023	supercont1.105	1392234	1393233	-
