#EnsemblGeneID(0)	Chromosome(1)	ExonStart(bp)(2)	ExonEnd(bp)(3)	Strand(4)
AAEL013940	supercont1.964	76781	77294	-
AAEL013940	supercont1.964	79999	80191	-
AAEL013940	supercont1.964	80263	80479	-
AAEL010135	supercont1.456	112794	112883	+
AAEL010135	supercont1.456	112960	113985	+
AAEL010135	supercont1.456	115696	116828	+
AAEL010135	supercont1.456	116910	117072	+
AAEL012786	supercont1.739	217183	217237	-
AAEL012786	supercont1.739	243842	244449	-
AAEL009224	supercont1.381	720570	720731	+
AAEL009224	supercont1.381	720805	720869	+
AAEL009224	supercont1.381	721233	721491	+
AAEL009224	supercont1.381	732937	733307	+
AAEL009224	supercont1.381	733392	733967	+
AAEL009224	supercont1.381	720570	720731	+
AAEL009224	supercont1.381	720805	720869	+
AAEL009224	supercont1.381	721233	721491	+
AAEL009224	supercont1.381	732937	733307	+
AAEL009224	supercont1.381	733395	733967	+
AAEL015380	supercont1.1974	39058	39262	-
AAEL015380	supercont1.1974	39919	40712	-
AAEL009373	supercont1.393	933037	933187	+
AAEL009373	supercont1.393	933264	933836	+
AAEL002384	supercont1.55	1705587	1705693	+
AAEL002384	supercont1.55	1705758	1706337	+
AAEL002384	supercont1.55	1706781	1707906	+
AAEL005954	supercont1.181	1399216	1399339	+
AAEL005954	supercont1.181	1399403	1400126	+
AAEL005954	supercont1.181	1402634	1402856	+
AAEL005954	supercont1.181	1402912	1403673	+
AAEL005954	supercont1.181	1403742	1403786	+
AAEL003769	supercont1.96	2129667	2130072	+
AAEL003769	supercont1.96	2147263	2147851	+
AAEL003769	supercont1.96	2147917	2148166	+
AAEL003769	supercont1.96	2129667	2130072	+
AAEL003769	supercont1.96	2147263	2147851	+
AAEL003769	supercont1.96	2147917	2148056	+
AAEL003769	supercont1.96	2148729	2149785	+
AAEL014635	supercont1.1198	142471	142719	-
AAEL014635	supercont1.1198	142845	142945	-
AAEL014635	supercont1.1198	154380	155553	-
AAEL014342	supercont1.1083	41237	41920	+
AAEL014609	supercont1.1188	49425	50943	-
AAEL014609	supercont1.1188	51004	51232	-
AAEL009122	supercont1.371	433630	434094	-
AAEL009122	supercont1.371	434148	435225	-
AAEL013202	supercont1.805	572316	572654	-
AAEL013202	supercont1.805	572717	572863	-
AAEL010396	supercont1.475	114959	115403	-
AAEL010396	supercont1.475	115474	115743	-
AAEL010396	supercont1.475	115807	115879	-
AAEL010396	supercont1.475	122733	122773	-
AAEL010396	supercont1.475	114959	115403	-
AAEL010396	supercont1.475	115474	115743	-
AAEL010396	supercont1.475	115807	115879	-
AAEL010396	supercont1.475	125069	125103	-
AAEL007225	supercont1.244	545378	545899	+
AAEL007225	supercont1.244	545957	546137	+
AAEL007225	supercont1.244	558784	560742	+
AAEL007225	supercont1.244	560805	561059	+
AAEL007225	supercont1.244	561120	561276	+
AAEL007225	supercont1.244	561336	564347	+
AAEL007225	supercont1.244	564432	564587	+
AAEL007225	supercont1.244	564648	566796	+
AAEL007225	supercont1.244	566858	567530	+
AAEL007225	supercont1.244	567588	567721	+
AAEL007225	supercont1.244	567783	571548	+
AAEL007225	supercont1.244	571603	571781	+
AAEL007225	supercont1.244	571837	572508	+
AAEL007542	supercont1.262	1387489	1388473	-
AAEL007542	supercont1.262	1411488	1411698	-
AAEL007542	supercont1.262	1412850	1413006	-
AAEL007542	supercont1.262	1435384	1436097	-
AAEL000979	supercont1.20	864370	864377	+
AAEL000979	supercont1.20	864436	865637	+
AAEL003013	supercont1.74	1354269	1356353	-
AAEL003013	supercont1.74	1356426	1356511	-
AAEL003013	supercont1.74	1363285	1363425	-
AAEL003013	supercont1.74	1363487	1364208	-
AAEL003013	supercont1.74	1369654	1370121	-
AAEL001942	supercont1.46	2043739	2043853	+
AAEL001942	supercont1.46	2043930	2045104	+
AAEL007208	supercont1.243	38711	39152	-
AAEL007208	supercont1.243	39335	39413	-
AAEL007208	supercont1.243	46355	46579	-
AAEL007208	supercont1.243	46656	46783	-
AAEL007208	supercont1.243	46860	47087	-
AAEL007208	supercont1.243	67591	67907	-
AAEL011160	supercont1.544	739048	739245	+
AAEL011160	supercont1.544	755169	756719	+
AAEL006846	supercont1.223	261735	261846	+
AAEL006846	supercont1.223	261912	262039	+
AAEL006846	supercont1.223	262102	262398	+
AAEL006846	supercont1.223	262519	262717	+
AAEL006846	supercont1.223	262775	263122	+
AAEL006846	supercont1.223	263178	263647	+
AAEL005461	supercont1.158	1116569	1117363	+
AAEL005461	supercont1.158	1117421	1117538	+
AAEL005461	supercont1.158	1122814	1123614	+
AAEL005461	supercont1.158	1123693	1124287	+
AAEL000727	supercont1.15	179817	180510	+
AAEL000727	supercont1.15	180804	180820	+
AAEL007935	supercont1.290	920706	920992	-
AAEL007935	supercont1.290	921056	921142	-
AAEL007935	supercont1.290	921212	921280	-
AAEL007935	supercont1.290	921356	921535	-
AAEL007935	supercont1.290	930505	930676	-
AAEL007935	supercont1.290	983548	984015	-
AAEL007935	supercont1.290	984880	985517	-
AAEL003889	supercont1.99	1385138	1385530	+
AAEL003889	supercont1.99	1392680	1392834	+
AAEL003889	supercont1.99	1392906	1393776	+
AAEL005430	supercont1.156	1497055	1497687	-
AAEL005430	supercont1.156	1505580	1505779	-
AAEL005430	supercont1.156	1505849	1506153	-
AAEL005430	supercont1.156	1506753	1506840	-
AAEL005430	supercont1.156	1506907	1507156	-
AAEL005430	supercont1.156	1507722	1507778	-
AAEL005430	supercont1.156	1507873	1508184	-
AAEL005430	supercont1.156	1509863	1509903	-
AAEL005430	supercont1.156	1515688	1515919	-
AAEL005430	supercont1.156	1520579	1524385	-
AAEL005430	supercont1.156	1527001	1527180	-
AAEL002625	supercont1.61	460974	461294	-
AAEL002625	supercont1.61	461355	461997	-
AAEL002625	supercont1.61	462056	462120	-
AAEL002625	supercont1.61	462179	462231	-
AAEL015238	supercont1.1644	8982	9529	+
AAEL002676	supercont1.63	113710	113812	-
AAEL002676	supercont1.63	113875	114118	-
AAEL002676	supercont1.63	114311	114895	-
AAEL002676	supercont1.63	114953	115085	-
AAEL002676	supercont1.63	115161	115268	-
AAEL002676	supercont1.63	115339	115497	-
AAEL002676	supercont1.63	121868	122410	-
AAEL002676	supercont1.63	138325	138657	-
AAEL000811	supercont1.17	3647569	3647986	-
AAEL000811	supercont1.17	3648049	3648274	-
AAEL000811	supercont1.17	3648332	3648453	-
AAEL000811	supercont1.17	3649244	3649337	-
AAEL000811	supercont1.17	3649400	3649994	-
AAEL008945	supercont1.360	178478	179291	-
AAEL008945	supercont1.360	179361	179544	-
AAEL002950	supercont1.73	2039607	2040322	-
AAEL002950	supercont1.73	2056357	2056570	-
AAEL002950	supercont1.73	2056678	2056859	-
AAEL002950	supercont1.73	2064243	2064888	-
AAEL002950	supercont1.73	2039607	2040322	-
AAEL002950	supercont1.73	2056469	2056570	-
AAEL002950	supercont1.73	2056678	2056859	-
AAEL002950	supercont1.73	2064243	2064888	-
AAEL013887	supercont1.954	25593	25971	+
AAEL013887	supercont1.954	105998	106111	+
AAEL013887	supercont1.954	119502	119871	+
AAEL013887	supercont1.954	119937	120092	+
AAEL013887	supercont1.954	138726	138785	+
AAEL013887	supercont1.954	161003	162148	+
AAEL015316	supercont1.1791	119	607	-
AAEL015316	supercont1.1791	5444	5518	-
AAEL011797	supercont1.615	491556	492092	-
AAEL011797	supercont1.615	492149	492430	-
AAEL009288	supercont1.387	875876	876410	-
AAEL009288	supercont1.387	879865	879939	-
AAEL009288	supercont1.387	880013	880134	-
AAEL004083	supercont1.107	491919	493484	+
AAEL004083	supercont1.107	493549	493636	+
AAEL004083	supercont1.107	493703	493929	+
AAEL004083	supercont1.107	494012	494399	+
AAEL000983	supercont1.20	3449800	3449921	-
AAEL000983	supercont1.20	3484547	3484684	-
AAEL000983	supercont1.20	3484957	3485065	-
AAEL000983	supercont1.20	3485126	3485304	-
AAEL000983	supercont1.20	3485473	3485572	-
AAEL000983	supercont1.20	3470712	3470900	-
AAEL000983	supercont1.20	3484547	3484684	-
AAEL000983	supercont1.20	3484957	3485065	-
AAEL000983	supercont1.20	3485126	3485304	-
AAEL000983	supercont1.20	3485473	3485572	-
AAEL000983	supercont1.20	3457234	3457684	-
AAEL000983	supercont1.20	3484547	3484684	-
AAEL000983	supercont1.20	3484957	3485065	-
AAEL000983	supercont1.20	3485126	3485304	-
AAEL000983	supercont1.20	3485473	3485588	-
AAEL000983	supercont1.20	3484334	3484684	-
AAEL000983	supercont1.20	3484957	3485065	-
AAEL000983	supercont1.20	3485126	3485304	-
AAEL000983	supercont1.20	3485473	3485573	-
AAEL000983	supercont1.20	3470507	3471095	-
AAEL000983	supercont1.20	3484547	3484684	-
AAEL000983	supercont1.20	3484957	3485065	-
AAEL000983	supercont1.20	3485126	3485304	-
AAEL000983	supercont1.20	3485473	3485578	-
AAEL008295	supercont1.311	493025	493447	-
AAEL008295	supercont1.311	493526	493537	-
AAEL000940	supercont1.19	1035893	1036088	+
AAEL000940	supercont1.19	1036422	1036616	+
AAEL000940	supercont1.19	1036933	1037058	+
AAEL000940	supercont1.19	1043353	1043688	+
AAEL000268	supercont1.5	2208151	2208599	-
AAEL000268	supercont1.5	2213200	2213454	-
AAEL000268	supercont1.5	2213534	2213691	-
AAEL000268	supercont1.5	2236923	2237022	-
AAEL000268	supercont1.5	2237271	2237367	-
AAEL014703	supercont1.1226	61129	62940	+
AAEL013119	supercont1.793	97931	98128	+
AAEL013119	supercont1.793	98245	98710	+
AAEL013119	supercont1.793	111557	111963	+
AAEL013119	supercont1.793	97936	97991	+
AAEL013119	supercont1.793	98087	98128	+
AAEL013119	supercont1.793	98245	98710	+
AAEL013119	supercont1.793	111557	111963	+
AAEL013119	supercont1.793	108052	108232	+
AAEL013119	supercont1.793	108349	108814	+
AAEL013119	supercont1.793	111557	111963	+
AAEL006143	supercont1.191	1509508	1509586	+
AAEL006143	supercont1.191	1518391	1520258	+
AAEL006946	supercont1.229	173216	174913	-
AAEL006946	supercont1.229	184013	184246	-
AAEL005991	supercont1.184	105291	106688	-
AAEL005991	supercont1.184	115498	115624	-
AAEL005991	supercont1.184	115688	115898	-
AAEL003561	supercont1.91	386055	386221	-
AAEL003561	supercont1.91	395203	395490	-
AAEL003561	supercont1.91	406336	406408	-
AAEL004673	supercont1.126	1233160	1233644	-
AAEL004673	supercont1.126	1233705	1233822	-
AAEL004673	supercont1.126	1234121	1234291	-
AAEL004673	supercont1.126	1234590	1235710	-
AAEL004673	supercont1.126	1241803	1243151	-
AAEL005735	supercont1.172	1956248	1956358	+
AAEL005735	supercont1.172	1956425	1956602	+
AAEL005735	supercont1.172	1957078	1957547	+
AAEL005865	supercont1.177	624879	625290	-
AAEL005865	supercont1.177	625349	625561	-
AAEL005865	supercont1.177	625617	625943	-
AAEL005865	supercont1.177	625997	626114	-
AAEL005865	supercont1.177	626172	626326	-
AAEL005865	supercont1.177	626385	626435	-
AAEL005865	supercont1.177	631518	631528	-
AAEL010966	supercont1.527	521286	521570	+
AAEL010966	supercont1.527	521636	522642	+
AAEL010966	supercont1.527	521299	521324	+
AAEL010966	supercont1.527	521398	521570	+
AAEL010966	supercont1.527	521636	522642	+
AAEL010966	supercont1.527	521274	521324	+
AAEL010966	supercont1.527	521404	521570	+
AAEL010966	supercont1.527	521636	522642	+
AAEL006024	supercont1.186	410817	411090	-
AAEL006024	supercont1.186	411146	411685	-
AAEL006024	supercont1.186	417465	418096	-
AAEL006024	supercont1.186	418612	418822	-
AAEL006024	supercont1.186	425265	425275	-
AAEL006067	supercont1.188	1008441	1008704	-
AAEL006067	supercont1.188	1008776	1008927	-
AAEL006067	supercont1.188	1011166	1011585	-
AAEL006327	supercont1.201	1261249	1261400	+
AAEL006327	supercont1.201	1261468	1261647	+
AAEL006327	supercont1.201	1261709	1262048	+
AAEL006327	supercont1.201	1262106	1262299	+
AAEL006327	supercont1.201	1264366	1264532	+
AAEL002086	supercont1.48	588303	588941	-
AAEL009704	supercont1.420	437377	438225	+
AAEL009704	supercont1.420	451944	452264	+
AAEL009704	supercont1.420	452329	452563	+
AAEL009704	supercont1.420	454559	454707	+
AAEL003793	supercont1.97	392024	392656	-
AAEL003793	supercont1.97	392722	392988	-
AAEL000582	supercont1.11	4402656	4403067	-
AAEL000582	supercont1.11	4403128	4404285	-
AAEL000582	supercont1.11	4404346	4404454	-
AAEL000582	supercont1.11	4404514	4404589	-
AAEL014740	supercont1.1243	145152	145319	-
AAEL014740	supercont1.1243	145376	145857	-
AAEL014740	supercont1.1243	145918	146024	-
AAEL014740	supercont1.1243	146093	147135	-
AAEL014175	supercont1.1026	165941	166141	+
AAEL014175	supercont1.1026	224659	224735	+
AAEL014175	supercont1.1026	225725	225749	+
AAEL010306	supercont1.470	475644	476164	-
AAEL010306	supercont1.470	476228	476462	-
AAEL008796	supercont1.349	243034	243724	-
AAEL008796	supercont1.349	247706	249513	-
AAEL008796	supercont1.349	249736	249753	-
AAEL014825	supercont1.1282	74536	74625	+
AAEL014825	supercont1.1282	81279	81491	+
AAEL014825	supercont1.1282	90695	90927	+
AAEL014825	supercont1.1282	104648	106201	+
AAEL001899	supercont1.45	381999	382206	-
AAEL001899	supercont1.45	382268	382484	-
AAEL001899	supercont1.45	383022	383337	-
AAEL001899	supercont1.45	383394	383699	-
AAEL006936	supercont1.229	1303117	1303233	+
AAEL006936	supercont1.229	1332637	1332761	+
AAEL006936	supercont1.229	1332828	1332996	+
AAEL006936	supercont1.229	1339420	1339618	+
AAEL006936	supercont1.229	1339683	1340030	+
AAEL006936	supercont1.229	1332476	1332558	+
AAEL006936	supercont1.229	1332637	1332761	+
AAEL006936	supercont1.229	1332828	1332996	+
AAEL006936	supercont1.229	1339420	1339618	+
AAEL006936	supercont1.229	1339683	1340030	+
AAEL009637	supercont1.414	303346	303398	+
AAEL009637	supercont1.414	318786	320040	+
AAEL007251	supercont1.245	821248	821498	-
AAEL007251	supercont1.245	821728	821853	-
AAEL007251	supercont1.245	821916	822706	-
AAEL007251	supercont1.245	822766	822885	-
AAEL007251	supercont1.245	830164	830277	-
AAEL010476	supercont1.480	642010	642136	+
AAEL010476	supercont1.480	642203	642331	+
AAEL010476	supercont1.480	642398	643532	+
AAEL000839	supercont1.17	2554889	2555022	+
AAEL000839	supercont1.17	2562045	2563753	+
AAEL006173	supercont1.193	107060	107362	-
AAEL001237	supercont1.27	474196	474386	-
AAEL001237	supercont1.27	474452	474866	-
AAEL001237	supercont1.27	474933	475682	-
AAEL001237	supercont1.27	499847	499904	-
AAEL002914	supercont1.71	1126831	1126981	+
AAEL002914	supercont1.71	1127883	1128001	+
AAEL002248	supercont1.52	1734747	1734938	+
AAEL002248	supercont1.52	1735248	1735424	+
AAEL002248	supercont1.52	1735503	1735641	+
AAEL002248	supercont1.52	1744896	1744955	+
AAEL002248	supercont1.52	1745085	1745329	+
AAEL002248	supercont1.52	1745546	1745653	+
AAEL002248	supercont1.52	1745711	1746379	+
AAEL007637	supercont1.269	861325	863345	-
AAEL007637	supercont1.269	863408	863666	-
AAEL007637	supercont1.269	932150	932195	-
AAEL007637	supercont1.269	949762	949913	-
AAEL004444	supercont1.119	16832	17291	-
AAEL004444	supercont1.119	17625	18008	-
AAEL004444	supercont1.119	18121	18190	-
AAEL004444	supercont1.119	18266	18349	-
AAEL004444	supercont1.119	18412	18498	-
AAEL004444	supercont1.119	40187	40233	-
AAEL004444	supercont1.119	40306	40444	-
AAEL004444	supercont1.119	40730	40813	-
AAEL004444	supercont1.119	40882	40942	-
AAEL004444	supercont1.119	53214	53342	-
AAEL004444	supercont1.119	54401	54559	-
AAEL002424	supercont1.56	28	394	+
AAEL002424	supercont1.56	4139	4290	+
AAEL002424	supercont1.56	11329	12014	+
AAEL008209	supercont1.306	914623	914883	+
AAEL008011	supercont1.294	802739	803197	-
AAEL007265	supercont1.245	452515	452859	+
AAEL011376	supercont1.573	396464	397761	-
AAEL011376	supercont1.573	411542	411684	-
AAEL011376	supercont1.573	411752	412695	-
AAEL011376	supercont1.573	412744	413097	-
AAEL004762	supercont1.129	76716	76727	+
AAEL004762	supercont1.129	76843	77565	+
AAEL002947	supercont1.72	2397880	2398482	-
AAEL002947	supercont1.72	2399249	2399645	-
AAEL002947	supercont1.72	2399707	2399832	-
AAEL002947	supercont1.72	2399941	2400485	-
AAEL002737	supercont1.66	2807930	2808012	+
AAEL002737	supercont1.66	2808084	2808177	+
AAEL002737	supercont1.66	2808284	2808566	+
AAEL002737	supercont1.66	2807930	2808177	+
AAEL002737	supercont1.66	2808284	2808566	+
AAEL008045	supercont1.297	404472	404562	+
AAEL008045	supercont1.297	404633	404760	+
AAEL008045	supercont1.297	404823	406778	+
AAEL004880	supercont1.133	1992290	1992323	+
AAEL004880	supercont1.133	1992610	1993474	+
AAEL004880	supercont1.133	1997232	1997405	+
AAEL004880	supercont1.133	1997467	1997692	+
AAEL004880	supercont1.133	1997754	1997897	+
AAEL004880	supercont1.133	1997966	1998168	+
AAEL004880	supercont1.133	1998234	1998546	+
AAEL004880	supercont1.133	1998603	1998850	+
AAEL004880	supercont1.133	1998912	1999104	+
AAEL004880	supercont1.133	2008939	2009503	+
AAEL004880	supercont1.133	2009565	2009744	+
AAEL004880	supercont1.133	2009878	2009952	+
AAEL004880	supercont1.133	2010099	2010387	+
AAEL004880	supercont1.133	2010436	2010619	+
AAEL004880	supercont1.133	2010713	2010967	+
AAEL000605	supercont1.12	3484414	3484635	+
AAEL000605	supercont1.12	3484637	3484705	+
AAEL000605	supercont1.12	3484717	3484891	+
AAEL000605	supercont1.12	3485678	3486958	+
AAEL013870	supercont1.946	143038	144450	-
AAEL013870	supercont1.946	159176	159349	-
AAEL013870	supercont1.946	159479	159594	-
AAEL013186	supercont1.803	53226	54173	+
AAEL010117	supercont1.454	453971	454819	+
AAEL009764	supercont1.427	905450	905568	+
AAEL009764	supercont1.427	905864	907102	+
AAEL009764	supercont1.427	907158	907465	+
AAEL009764	supercont1.427	907522	907916	+
AAEL009764	supercont1.427	905746	905798	+
AAEL009764	supercont1.427	905864	907102	+
AAEL009764	supercont1.427	907158	907465	+
AAEL009764	supercont1.427	907522	907916	+
AAEL009405	supercont1.394	195433	195441	-
AAEL009405	supercont1.394	197498	200190	-
AAEL009405	supercont1.394	200255	201458	-
AAEL009405	supercont1.394	207061	207226	-
AAEL009405	supercont1.394	229701	229820	-
AAEL009405	supercont1.394	230803	231056	-
AAEL002004	supercont1.47	2335812	2336192	-
AAEL002806	supercont1.68	2601557	2601577	-
AAEL002806	supercont1.68	2608960	2609012	-
AAEL002806	supercont1.68	2613950	2614193	-
AAEL002806	supercont1.68	2614257	2614652	-
AAEL000283	supercont1.5	3105827	3105853	+
AAEL000283	supercont1.5	3110427	3110807	+
AAEL015591	supercont1.3561	492	576	+
AAEL015591	supercont1.3561	658	849	+
AAEL015591	supercont1.3561	912	1097	+
AAEL015591	supercont1.3561	1156	1784	+
AAEL013159	supercont1.798	98499	100118	+
AAEL001886	supercont1.45	2119679	2120828	+
AAEL001886	supercont1.45	2123648	2123733	+
AAEL001886	supercont1.45	2123795	2124181	+
AAEL006141	supercont1.191	982601	982735	+
AAEL006141	supercont1.191	982741	982794	+
AAEL006141	supercont1.191	982800	982868	+
AAEL006141	supercont1.191	982870	983097	+
AAEL002783	supercont1.68	2356625	2356931	-
AAEL002783	supercont1.68	2357027	2357489	-
AAEL002783	supercont1.68	2357573	2358178	-
AAEL001187	supercont1.24	1093843	1095093	-
AAEL001187	supercont1.24	1106216	1106957	-
AAEL000764	supercont1.16	3932816	3932838	-
AAEL000764	supercont1.16	3943814	3944498	-
AAEL000764	supercont1.16	3944552	3945175	-
AAEL008983	supercont1.361	732391	732399	+
AAEL008983	supercont1.361	732475	732882	+
AAEL008219	supercont1.306	750828	751430	-
AAEL008219	supercont1.306	751503	751639	-
AAEL008219	supercont1.306	751702	751945	-
AAEL008219	supercont1.306	752006	752196	-
AAEL008219	supercont1.306	752260	752806	-
AAEL012565	supercont1.712	119798	120413	-
AAEL012565	supercont1.712	120474	120688	-
AAEL010743	supercont1.504	288991	290358	-
AAEL010743	supercont1.504	292491	292567	-
AAEL010743	supercont1.504	292719	292815	-
AAEL010851	supercont1.512	770208	770434	+
AAEL010851	supercont1.512	770488	771723	+
AAEL010851	supercont1.512	771779	771920	+
AAEL010851	supercont1.512	771990	772116	+
AAEL010851	supercont1.512	781983	782281	+
AAEL010851	supercont1.512	782340	782807	+
AAEL006164	supercont1.192	441808	442137	+
AAEL012228	supercont1.668	466503	466585	+
AAEL012228	supercont1.668	466647	467927	+
AAEL012228	supercont1.668	468274	468312	+
AAEL004105	supercont1.107	69465	69689	-
AAEL004105	supercont1.107	92248	92479	-
AAEL004105	supercont1.107	96842	96870	-
AAEL004105	supercont1.107	101675	101692	-
AAEL015283	supercont1.1700	13410	13556	+
AAEL015283	supercont1.1700	13616	14565	+
AAEL015283	supercont1.1700	14627	15221	+
AAEL005883	supercont1.178	1096564	1096694	-
AAEL005883	supercont1.178	1097696	1097825	-
AAEL005883	supercont1.178	1097894	1098155	-
AAEL005883	supercont1.178	1102190	1102257	-
AAEL004932	supercont1.135	580984	580988	+
AAEL004932	supercont1.135	587730	588793	+
AAEL004932	supercont1.135	589244	589426	+
AAEL004932	supercont1.135	589559	589932	+
AAEL004932	supercont1.135	589995	590235	+
AAEL004932	supercont1.135	590293	590597	+
AAEL004932	supercont1.135	590658	590851	+
AAEL004932	supercont1.135	590921	591061	+
AAEL004932	supercont1.135	591127	591241	+
AAEL002286	supercont1.53	826672	827114	-
AAEL002286	supercont1.53	877411	877516	-
AAEL002286	supercont1.53	885955	886052	-
AAEL002286	supercont1.53	886144	886268	-
AAEL002286	supercont1.53	886327	886943	-
AAEL010719	supercont1.500	341216	341268	-
AAEL010719	supercont1.500	342694	342866	-
AAEL010719	supercont1.500	360902	361494	-
AAEL007213	supercont1.243	810791	810949	+
AAEL007213	supercont1.243	811331	811439	+
AAEL007213	supercont1.243	832622	832958	+
AAEL007213	supercont1.243	840458	840643	+
AAEL007213	supercont1.243	840706	841276	+
AAEL000261	supercont1.5	1037302	1037612	+
AAEL000261	supercont1.5	1045010	1046183	+
AAEL010752	supercont1.506	358639	358993	+
AAEL010752	supercont1.506	369297	369484	+
AAEL010752	supercont1.506	369546	370115	+
AAEL006978	supercont1.230	162147	162368	+
AAEL006978	supercont1.230	225539	226054	+
AAEL006978	supercont1.230	226821	227204	+
AAEL006978	supercont1.230	227261	227910	+
AAEL006978	supercont1.230	227969	228403	+
AAEL006978	supercont1.230	228938	229335	+
AAEL001581	supercont1.36	859613	859723	-
AAEL001581	supercont1.36	859787	859856	-
AAEL001581	supercont1.36	859918	860021	-
AAEL001581	supercont1.36	860087	860380	-
AAEL001581	supercont1.36	860446	860555	-
AAEL001581	supercont1.36	865486	866656	-
AAEL001581	supercont1.36	875702	876216	-
AAEL001581	supercont1.36	876278	876418	-
AAEL001581	supercont1.36	890293	890377	-
AAEL001581	supercont1.36	890455	890592	-
AAEL010104	supercont1.453	995419	995616	-
AAEL010104	supercont1.453	995683	996375	-
AAEL007090	supercont1.235	1278202	1278298	+
AAEL007090	supercont1.235	1278376	1278671	+
AAEL007090	supercont1.235	1288635	1289014	+
AAEL007090	supercont1.235	1289900	1290074	+
AAEL003645	supercont1.93	1310151	1310459	-
AAEL003645	supercont1.93	1310520	1310695	-
AAEL003645	supercont1.93	1310763	1310948	-
AAEL003645	supercont1.93	1317859	1318064	-
AAEL003645	supercont1.93	1318127	1318257	-
AAEL003645	supercont1.93	1318319	1318679	-
AAEL003645	supercont1.93	1369712	1370071	-
AAEL004143	supercont1.108	1851068	1851849	+
AAEL004143	supercont1.108	1851915	1852008	+
AAEL004143	supercont1.108	1868627	1869237	+
AAEL014874	supercont1.1319	77202	78116	-
AAEL003246	supercont1.82	481429	481575	+
AAEL003246	supercont1.82	481644	481991	+
AAEL003246	supercont1.82	484819	485051	+
AAEL003246	supercont1.82	485108	485627	+
AAEL011491	supercont1.584	422989	423064	+
AAEL011491	supercont1.584	423132	423293	+
AAEL011491	supercont1.584	423354	423783	+
AAEL009773	supercont1.428	88250	88426	+
AAEL009773	supercont1.428	88564	88703	+
AAEL009773	supercont1.428	89310	90233	+
AAEL009773	supercont1.428	88250	88423	+
AAEL009773	supercont1.428	88564	88703	+
AAEL009773	supercont1.428	89310	90233	+
AAEL009773	supercont1.428	88250	88423	+
AAEL009773	supercont1.428	88564	88703	+
AAEL009773	supercont1.428	89310	89753	+
AAEL009773	supercont1.428	110223	110365	+
AAEL000231	supercont1.4	2867520	2867799	+
AAEL000231	supercont1.4	2867866	2868288	+
AAEL000231	supercont1.4	2881264	2883055	+
AAEL006238	supercont1.196	1142744	1142913	-
AAEL006238	supercont1.196	1142979	1143065	-
AAEL006238	supercont1.196	1143127	1143199	-
AAEL006238	supercont1.196	1154605	1155014	-
AAEL006238	supercont1.196	1142744	1142913	-
AAEL006238	supercont1.196	1142979	1143065	-
AAEL006238	supercont1.196	1143130	1143199	-
AAEL006238	supercont1.196	1154605	1155014	-
AAEL012570	supercont1.713	246477	247142	-
AAEL001709	supercont1.40	3159103	3159145	+
AAEL001709	supercont1.40	3159281	3159611	+
AAEL001709	supercont1.40	3159677	3159915	+
AAEL001709	supercont1.40	3172721	3172797	+
AAEL001709	supercont1.40	3191241	3191336	+
AAEL001709	supercont1.40	3191446	3191606	+
AAEL001709	supercont1.40	3191680	3192064	+
AAEL001709	supercont1.40	3196627	3196767	+
AAEL001709	supercont1.40	3196829	3196936	+
AAEL001709	supercont1.40	3199551	3199658	+
